,date,rainfall,temperature,humidity,pressure,wind_speed,river_discharge,ward,district,city
0,2024-06-09,23.4,27.0,93,1002.4,9.5,19.61,An Khanh,Hoai Duc,Ha Noi
1,2024-06-10,29.1,27.1,91,1003.9,12.6,21.44,An Khanh,Hoai Duc,Ha Noi
2,2024-06-11,3.9,28.5,87,1003.4,11.9,15.71,An Khanh,Hoai Duc,Ha Noi
3,2024-06-12,0.2,30.2,82,1002.2,14.5,11.74,An Khanh,Hoai Duc,Ha Noi
4,2024-06-13,0.0,31.3,77,999.3,11.9,8.12,An Khanh,Hoai Duc,Ha Noi
5,2024-06-14,0.0,31.5,70,998.2,11.2,6.11,An Khanh,Hoai Duc,Ha Noi
6,2024-06-15,0.0,30.6,81,999.7,13.4,4.87,An Khanh,Hoai Duc,Ha Noi
7,2024-06-16,3.5,30.6,82,1000.9,17.6,4.28,An Khanh,Hoai Duc,Ha Noi
8,2024-06-17,22.6,30.8,80,1000.0,15.1,3.75,An Khanh,Hoai Duc,Ha Noi
9,2024-06-18,0.0,30.7,79,999.3,12.1,4.06,An Khanh,Hoai Duc,Ha Noi
10,2024-06-19,12.3,31.2,78,998.8,16.0,3.99,An Khanh,Hoai Duc,Ha Noi
11,2024-06-20,0.0,31.6,75,998.8,16.6,3.8,An Khanh,Hoai Duc,Ha Noi
12,2024-06-21,0.7,32.0,75,999.5,16.1,3.41,An Khanh,Hoai Duc,Ha Noi
13,2024-06-22,2.2,30.6,80,1001.3,15.6,1.47,An Khanh,Hoai Duc,Ha Noi
14,2024-06-23,3.0,29.4,83,1001.7,19.1,1.48,An Khanh,Hoai Duc,Ha Noi
15,2024-06-24,36.1,27.1,90,1001.9,9.4,4.33,An Khanh,Hoai Duc,Ha Noi
16,2024-06-25,25.7,26.9,91,1003.6,11.5,7.77,An Khanh,Hoai Duc,Ha Noi
17,2024-06-26,16.4,27.1,89,1006.3,16.8,14.92,An Khanh,Hoai Duc,Ha Noi
18,2024-06-27,5.4,27.6,86,1007.2,13.8,20.13,An Khanh,Hoai Duc,Ha Noi
19,2024-06-28,1.0,29.2,82,1004.0,18.8,12.18,An Khanh,Hoai Duc,Ha Noi
20,2024-06-29,0.0,30.6,78,1001.5,17.4,8.08,An Khanh,Hoai Duc,Ha Noi
21,2024-06-30,0.0,31.8,74,1000.0,18.9,5.9,An Khanh,Hoai Duc,Ha Noi
22,2024-07-01,0.0,31.4,72,998.4,14.8,4.53,An Khanh,Hoai Duc,Ha Noi
23,2024-07-02,17.0,29.6,79,1000.3,10.4,3.33,An Khanh,Hoai Duc,Ha Noi
24,2024-07-03,20.4,28.1,89,1005.2,14.3,7.83,An Khanh,Hoai Duc,Ha Noi
25,2024-07-04,3.6,28.5,84,1007.2,14.5,8.82,An Khanh,Hoai Duc,Ha Noi
26,2024-07-05,1.3,28.9,81,1004.6,15.0,4.92,An Khanh,Hoai Duc,Ha Noi
27,2024-07-06,0.8,29.3,80,1003.7,14.8,3.05,An Khanh,Hoai Duc,Ha Noi
28,2024-07-07,2.0,29.5,79,1004.5,18.3,2.47,An Khanh,Hoai Duc,Ha Noi
29,2024-07-08,0.9,30.0,79,1003.3,17.3,2.22,An Khanh,Hoai Duc,Ha Noi
30,2024-07-09,0.4,30.7,76,1002.8,17.8,1.86,An Khanh,Hoai Duc,Ha Noi
31,2024-07-10,2.4,30.3,79,1003.2,12.2,1.59,An Khanh,Hoai Duc,Ha Noi
32,2024-07-11,0.6,30.4,77,1001.6,17.7,2.37,An Khanh,Hoai Duc,Ha Noi
33,2024-07-12,0.1,30.6,78,999.6,14.1,1.92,An Khanh,Hoai Duc,Ha Noi
34,2024-07-13,9.5,30.0,82,999.5,14.3,1.44,An Khanh,Hoai Duc,Ha Noi
35,2024-07-14,10.6,28.0,86,1002.8,16.8,3.06,An Khanh,Hoai Duc,Ha Noi
36,2024-07-15,28.0,27.3,90,1004.7,14.9,5.31,An Khanh,Hoai Duc,Ha Noi
37,2024-07-16,18.3,27.3,88,1004.6,16.5,13.79,An Khanh,Hoai Duc,Ha Noi
38,2024-07-17,47.3,27.1,90,1003.8,11.3,14.17,An Khanh,Hoai Duc,Ha Noi
39,2024-07-18,27.1,27.0,90,1002.9,13.3,15.98,An Khanh,Hoai Duc,Ha Noi
40,2024-07-19,20.3,27.3,89,1002.7,19.6,16.38,An Khanh,Hoai Duc,Ha Noi
41,2024-07-20,5.1,27.8,89,1003.5,15.1,9.79,An Khanh,Hoai Duc,Ha Noi
42,2024-07-21,14.6,28.5,87,1003.7,13.7,6.8,An Khanh,Hoai Duc,Ha Noi
43,2024-07-22,5.2,28.4,88,1001.2,12.2,6.85,An Khanh,Hoai Duc,Ha Noi
44,2024-07-23,108.3,26.9,92,996.8,12.8,12.18,An Khanh,Hoai Duc,Ha Noi
45,2024-07-24,58.8,27.9,88,994.5,11.0,38.26,An Khanh,Hoai Duc,Ha Noi
46,2024-07-25,12.7,28.3,90,994.1,10.1,33.2,An Khanh,Hoai Duc,Ha Noi
47,2024-07-26,0.0,31.4,78,994.3,10.6,24.94,An Khanh,Hoai Duc,Ha Noi
48,2024-07-27,8.1,32.0,79,997.4,13.3,16.7,An Khanh,Hoai Duc,Ha Noi
49,2024-07-28,9.9,28.5,88,1000.3,14.6,16.06,An Khanh,Hoai Duc,Ha Noi
50,2024-07-29,33.9,27.1,92,1000.3,10.6,18.05,An Khanh,Hoai Duc,Ha Noi
51,2024-07-30,16.6,27.6,93,1000.1,10.8,25.36,An Khanh,Hoai Duc,Ha Noi
52,2024-07-31,2.1,27.8,88,1001.1,15.9,23.32,An Khanh,Hoai Duc,Ha Noi
53,2024-08-01,2.3,28.1,84,1001.9,16.9,10.72,An Khanh,Hoai Duc,Ha Noi
54,2024-08-02,18.8,26.1,92,1001.8,18.9,6.4,An Khanh,Hoai Duc,Ha Noi
55,2024-08-03,22.1,28.1,84,1003.5,11.9,8.27,An Khanh,Hoai Duc,Ha Noi
56,2024-08-04,2.6,28.6,84,1005.2,7.9,9.84,An Khanh,Hoai Duc,Ha Noi
57,2024-08-05,5.3,28.7,86,1004.6,11.9,8.08,An Khanh,Hoai Duc,Ha Noi
58,2024-08-06,5.3,29.1,86,1003.7,12.4,6.94,An Khanh,Hoai Duc,Ha Noi
59,2024-08-07,0.1,30.1,81,1003.8,15.4,5.44,An Khanh,Hoai Duc,Ha Noi
60,2024-08-08,0.2,30.7,79,1003.3,15.0,3.99,An Khanh,Hoai Duc,Ha Noi
