Location,time,precipitation_sum,temperature_2m_mean,relative_humidity_2m_mean,surface_pressure_mean,wind_speed_10m_max,river_discharge
Hue,2001-07-01,0.0,28.6,68,1000.4,24.8,0.53
Hue,2001-07-02,0.2,29.1,70,998.7,20.9,0.44
Hue,2001-07-03,1.8,28.6,79,999.6,6.9,0.42
Hue,2001-07-04,13.8,27.8,85,999.9,11.5,0.44
Hue,2001-07-05,0.0,28.8,74,997.5,25.2,0.41
Hue,2001-07-06,0.0,29.8,64,996.6,28.1,0.37
Hue,2001-07-07,0.5,30.2,68,998.4,23.1,0.36
Hue,2001-07-08,38.0,28.4,82,1003.1,6.2,0.7
Hue,2001-07-09,6.7,28.0,80,1006.4,8.1,1.28
Hue,2001-07-10,0.2,28.2,79,1006.2,9.2,0.92
Hue,2001-07-11,0.8,28.6,80,1004.7,9.1,0.58
Hue,2001-07-12,0.0,29.5,76,1002.9,13.6,0.45
Hue,2001-07-13,0.5,29.6,75,1001.9,7.9,0.39
Hue,2001-07-14,5.1,29.3,79,1003.2,8.7,0.37
Hue,2001-07-15,11.7,28.5,81,1004.7,10.3,0.39
Hue,2001-07-16,0.6,29.0,78,1005.1,5.5,0.39
Hue,2001-07-17,0.5,29.6,73,1003.2,12.5,0.37
Hue,2001-07-18,0.0,29.8,69,1001.7,16.0,0.34
Hue,2001-07-19,2.0,30.4,71,1002.5,10.0,0.33
Hue,2001-07-20,0.7,29.5,74,1001.2,15.6,0.34
Hue,2001-07-21,43.8,27.2,86,1001.0,7.9,0.85
Hue,2001-07-22,3.2,27.5,84,1003.6,7.7,1.48
Hue,2001-07-23,5.1,27.8,84,1005.2,9.3,1.05
Hue,2001-07-24,6.6,28.4,81,1003.2,6.5,0.69
Hue,2001-07-25,0.3,29.4,78,1002.1,10.6,0.55
Hue,2001-07-26,0.0,29.4,74,1002.3,12.9,0.47
Hue,2001-07-27,2.3,29.1,78,1003.1,7.4,0.41
Hue,2001-07-28,2.5,29.3,77,1003.6,8.7,0.37
Hue,2001-07-29,2.5,29.3,77,1004.2,7.4,0.34
Hue,2001-07-30,1.6,29.7,77,1004.7,8.1,0.33
Hue,2001-07-31,1.5,30.1,73,1004.3,7.1,0.33
Hue,2001-08-01,0.4,30.5,71,1002.4,9.5,0.33
Hue,2001-08-02,28.1,28.9,80,1002.5,10.7,0.55
Hue,2001-08-03,14.3,27.7,83,1005.9,13.8,0.99
Hue,2001-08-04,9.1,26.7,87,1008.6,13.0,1.3
Hue,2001-08-05,32.9,25.1,92,1006.8,9.4,2.6
Hue,2001-08-06,7.1,26.9,86,1005.2,8.7,3.4
Hue,2001-08-07,15.1,27.5,85,1004.9,8.0,2.39
Hue,2001-08-08,10.2,28.0,84,1004.8,9.0,1.64
Hue,2001-08-09,4.5,27.5,84,1004.8,13.6,1.38
Hue,2001-08-10,27.8,26.3,85,1000.9,14.5,1.92
Hue,2001-08-11,2.6,28.0,79,1003.3,10.5,2.4
Hue,2001-08-12,13.6,27.4,83,1006.2,10.9,1.55
Hue,2001-08-13,13.5,27.1,87,1006.6,9.3,1.14
Hue,2001-08-14,5.9,27.3,83,1007.0,9.7,1.0
Hue,2001-08-15,1.7,27.7,81,1005.3,8.4,0.75
Hue,2001-08-16,9.0,27.5,84,1002.7,7.2,0.7
Hue,2001-08-17,15.2,27.3,84,1002.4,9.9,1.05
Hue,2001-08-18,3.5,27.4,84,1002.7,12.8,1.33
Hue,2001-08-19,0.5,27.9,82,1003.2,10.4,0.91
Hue,2001-08-20,0.4,28.3,81,1004.2,12.6,0.59
Hue,2001-08-21,0.3,28.0,82,1004.2,11.6,0.47
Hue,2001-08-22,0.5,28.4,80,1002.8,8.9,0.41
Hue,2001-08-23,1.8,29.4,79,1002.0,7.9,0.37
Hue,2001-08-24,0.0,30.1,77,1001.0,9.0,0.36
Hue,2001-08-25,4.8,29.7,80,1001.4,7.9,0.53
Hue,2001-08-26,10.4,27.9,85,1001.9,11.5,1.14
Hue,2001-08-27,17.6,27.4,85,1001.0,9.9,1.64
Hue,2001-08-28,14.4,27.1,85,1000.3,15.3,2.52
Hue,2001-08-29,15.0,26.9,84,999.6,14.1,2.94
Hue,2001-08-30,0.0,28.3,73,999.4,20.8,1.69
Hue,2001-08-31,0.5,29.1,76,1001.5,12.3,0.94
Hue,2001-09-01,4.1,28.7,81,1002.9,10.3,1.0
Hue,2001-09-02,7.4,27.7,86,1003.2,13.4,1.9
Hue,2001-09-03,22.6,27.0,89,1004.3,12.1,3.14
Hue,2001-09-04,15.0,27.2,88,1004.8,8.4,3.37
Hue,2001-09-05,2.6,27.8,84,1005.4,7.9,1.94
Hue,2001-09-06,10.0,28.0,84,1006.6,6.3,1.13
Hue,2001-09-07,0.0,28.8,81,1006.8,7.4,0.85
Hue,2001-09-08,0.7,28.4,79,1005.3,17.2,0.77
Hue,2001-09-09,23.8,26.1,89,1004.7,15.3,1.47
Hue,2001-09-10,14.1,25.5,88,1005.5,13.3,2.7
Hue,2001-09-11,10.9,25.8,85,1005.3,10.8,2.03
Hue,2001-09-12,8.3,26.4,84,1006.7,8.3,1.29
Hue,2001-09-13,6.9,26.8,85,1006.8,8.3,0.91
Hue,2001-09-14,2.8,27.1,83,1007.4,7.5,0.7
Hue,2001-09-15,0.3,27.5,83,1007.3,10.1,0.57
Hue,2001-09-16,0.3,27.8,82,1007.1,8.7,0.49
Hue,2001-09-17,0.5,27.5,82,1006.4,9.2,0.43
Hue,2001-09-18,1.8,27.9,81,1005.9,9.4,0.39
Hue,2001-09-19,3.2,27.9,81,1005.5,8.2,0.39
Hue,2001-09-20,4.2,28.0,81,1006.0,7.6,0.4
Hue,2001-09-21,1.5,27.6,81,1007.2,15.9,0.42
